Tên doanh nghiệp,Tên giao dịch,Mã số thuế,Địa chỉ,Tình trạng hoạt động,Ngày cấp giấy phép,Ngành nghề kinh doanh,Link
CÔNG TY TNHH STD PHẠM NGUYỄN,,111134464,"SỐ719 quốc 1Ộ21, Thôn Tân Phúc, Xã Đoài Phương, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/07/2025,Gia công cơ khí; xử lý và tráng phủ kim loại,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Std-Pham-Nguyen-34464.html
CÔNG TY TNHH ZEROTH JEWELRY,"ZEROTH JEWELRY CO., LTD",111134721,"Số 225, ngõ chợ Khâm Thiên, Phường Văn Miếu - Quốc Tử Giám, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/07/2025,Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Zeroth-Jewelry-34721.html
CÔNG TY TNHH GIA MINH FOODS,,111131671,"SỐ21, đường Đồng Bưởi, thôn Mới, Xã Dương Hòa, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,Bán lẻ thực phẩm trong các cửa hàng chuyên doanh,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Gia-Minh-Foods-31671.html
CÔNG TY CỔ PHẦN BỆNH VIỆN VIỆT NHẬT MÊ LINH,,111132812,"Khu đô thị Hà Phong, Xã Mê Linh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,"Hoạt động của các bệnh viện, trạm y tế",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Benh-Vien-Viet-Nhat-Me-Linh-32812.html
CÔNG TY TNHH SẢN XUẤT VÀ CUNG ỨNG THỰC PHẨM TRÍ THÀNH,"TRI THANH FOOD CO.,LTD",111131618,"Đội 9, Xã Ngọc Hồi, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,Bán buôn thực phẩm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-San-Xuat-Va-Cung-Ung-Thuc-Pham-Tri-Thanh-31618.html
CÔNG TY CỔ PHẦN HELIA HOLDING,"HELIA HOLDING.,JSC",111132594,"Số 280 Hoàng Văn Thái, Phường Thanh Xuân, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,"Hoạt động của các phòng khám đa khoa, chuyên khoa và nha khoa",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Helia-Holding-32594.html
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẠN PHÚ THỊNH,,111131664,"Số nhà 21 ngõ 35, Thôn Đau Tranh, Xã An Khánh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,Bán buôn tổng hợp,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Dich-Vu-Van-Phu-Thinh-31664.html
CÔNG TY TNHH THƯƠNG MẠI VÀ PHÁT TRIỂN DỊCH VỤ 3B,,111131777,"Số 28, ngách 77/25/22, ngõ 298 đường Ngọc Hồi, Thôn Yên Ngưu, Xã Đại Thanh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,"Bán buôn vải, hàng may mặc, giày dép",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Phat-Trien-Dich-Vu-3B-31777.html
CÔNG TY TNHH TM HẢI SẢN THÀNH ĐỖ GIA,"THANH DO GIA SEAEOOD CO., LTD",111131897,"Số 32, Ngõ 255 Thanh Am, Phường Việt Hưng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,Bán buôn thực phẩm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-TM-Hai-San-Thanh-Do-Gia-31897.html
CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ TUYẾN NAM,"TUYEN NAM INTERNATIONAL TRADING CO., LTD",111132026,"Số nhà 31,TỔ dân phố số 1, Ngõ 908/36 Đường Kim Giang, Phường Thanh Liệt, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Quoc-Te-Tuyen-Nam-32026.html
CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI SÀN ĐẸP,SAN DEP PRODUCTION AND TRADING JSC,111131713,"Số 05 liền ke 06 - Tổng cục V, Phường Thanh Liệt, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,Hoàn thiện công trình xây dựng,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-San-Xuat-Va-Thuong-Mai-San-Dep-31713.html
CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TRÂU VÀNG,"TRAU VANG TRADING SERVICE., JSC",111132629,"Số 6 Đường Đông Hạ, Thôn Thái Phù, Xã Sóc Sơn, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,Vận tải hàng hóa bằng đường bộ,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dich-Vu-Thuong-Mai-Trau-Vang-32629.html
CÔNG TY TNHH THƯƠNG MẠI HƯNG BẢO KHÁNH,"HUNG BAO KHANH TRADING CO.,LTD",111132555,"Thôn Đông Cứu, Xã Thượng Phúc, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Hung-Bao-Khanh-32555.html
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI ĐỨC PHÚC 88,,111131819,"Thôn Châu Mai, Xã Dân Hòa, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,Chăn nuôi gia cầm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-San-Xuat-Va-Thuong-Mai-Duc-Phuc-88-31819.html
CÔNG TY TNHH CHĂN NUÔI TÙNG ANH,,111131865,"Số nhà 142 Đường số 1 Thôn Châu Mai, Xã Dân Hòa, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,Chăn nuôi gia cầm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Chan-Nuoi-Tung-Anh-31865.html
CÔNG TY CỔ PHẦN VẬT LIỆU XÂY DỰNG XANH HÀ NỘI,HANOI GREEN MATERIALS JSC,111131745,"Số nhà 23,TỔ 13 Đường Hồ Chí Minh, Thôn Xuân Thủy, Xã Xuân Mai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Vat-Lieu-Xay-Dung-Xanh-Ha-Noi-31745.html
CÔNG TY TNHH THƯƠNG MẠI ALEI,"ALEI TRADING CO., LTD",111132178,"Xóm 1 thôn Đồng Nhân, Xã An Khánh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,Sản xuất các loại hàng dệt khác chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Alei-32178.html
CÔNG TY TNHH ẨM THỰC TÙNG VIỆT NAM,,111132097,"Số 2 phố Hàng Bông, Phường Hoàn Kiếm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Am-Thuc-Tung-Viet-Nam-32097.html
CÔNG TY CP TỔNG HỢP THÔNG MINH GIA NGUYỄN INNOVATIVE SOLUTIONS,"GIANGUYENINNOVATIVE SOLUTIONS., JSC",111131752,"Số 17, đường Phú Xá, Phường Phú Thượng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,Bán lẻ  khác trong các cửa hàng kinh doanh tổng hợp,https://infodoanhnghiep.com/thong-tin/Cong-Ty-CP-Tong-Hop-Thong-Minh-Gia-Nguyen-Innovative-Solutions-31752.html
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI CƠ KHÍ CÔNG VƯỢNG,"CONG VUONG MECHANICAL TRADING AND PRODUCTION CO., LTD",111131826,"Số nhà 35, Thôn Rùa Thượng, Xã Tam Hưng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,Gia công cơ khí; xử lý và tráng phủ kim loại,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-San-Xuat-Va-Thuong-Mai-Co-Khi-Cong-Vuong-31826.html
CÔNG TY CỔ PHẦN ĐIỆN MÁY TÂM VIỆT,"DIEN MAY TAM VIET .,JSC",111131706,"Lô 28, Dịch vụ 14, Khu đô thị Tây Nam Linh Đàm, Phường Hoàng Liệt, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,"Bán buôn thiết bị và linh kiện điện tử, viễn thông",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dien-May-Tam-Viet-31706.html
CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI QUỐC TẾ LẠC VIỆT,LAC VIET GLOBAL,111131791,"186 đường Võ Chí Công, Phường Tây Hồ, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Trach-Nhiem-Huu-Han-Thuong-Mai-Quoc-Te-Lac-Viet-31791.html
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ HQ HÀ NỘI,,111131784,"Số 4, ngách 67 ngõ 18 Định Công Thượng, Phường Định Công, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),19/07/2025,Bán buôn thực phẩm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Dich-Vu-Hq-Ha-Noi-31784.html
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TỔNG HỢP GOODEX VIỆT NAM,"GOODEX VN GT&S CO.,LTD",111127636,"số 3 ngách 8 ngõ 313 đường Lĩnh Nam, Phường Vĩnh Tuy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),17/07/2025,Bán lẻ  khác trong các cửa hàng kinh doanh tổng hợp,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Dich-Vu-Tong-Hop-Goodex-Viet-Nam-27636.html
CÔNG TY TNHH NGHỆ THUẬT SƠN MÀI HẠ THÁI,"HA THAI LACQUER ART CO., LTD",111127481,"Số 79, Đường Hạ Thái-Mỹ Lộc, Cụm 6, Thôn Hạ Thái, Xã Hồng Vân, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),17/07/2025,Sản xuất khác chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Nghe-Thuat-Son-Mai-Ha-Thai-27481.html
CÔNG TY TNHH STUDIO FORTE,"STUDIO FORTE CO., LTD",111125445,"Số nhà 10, ngách 55, Phường Bạch Mai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),16/07/2025,"Hoạt động sản xuất phim điện ảnh, phim video và chương trình truyền hình",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Studio-Forte-25445.html
CÔNG TY TNHH XUẤT NHẬP KHẨU VÀ THƯƠNG MẠI QUỐC TẾ THỊNH PHÁT,"THINH PHAT IMEX INTRACO.,LTD",111126015,"Tầng 10 Tòa Suced Tower, số 108 Đường Nguyễn Hoàng, Phường Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),16/07/2025,Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Xuat-Nhap-Khau-Va-Thuong-Mai-Quoc-Te-Thinh-Phat-26015.html
DOANH NGHIỆP TƯ NHÂN VIETNAM FLASH TOUR,,111126110,"9E Đinh Liệt, Phường Hoàn Kiếm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),16/07/2025,Dịch vụ đặt chỗ và các dịch vụ hỗ trợ liên quan đến quảng bá và tổ chức tua du lịch,https://infodoanhnghiep.com/thong-tin/Doanh-Nghiep-Tu-Nhan-Vietnam-Flash-Tour-26110.html
CÔNG TY TNHH YẾN VIETNEST,,111122959,"524 Nguyễn Trãi, Phường Thanh Xuân, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),15/07/2025,Bán buôn thực phẩm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Yen-Vietnest-22959.html
CÔNG TY TNHH SẢN XUẤT VÀ PHÂN PHỐI TECH AIR,,111119850,"Tầng 4, tòa nhà Hòa Bình GreenCity, 505 Minh Khai, Phường Vĩnh Tuy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),11/7/2025,Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-San-Xuat-Va-Phan-Phoi-Tech-Air-19850.html
CÔNG TY TNHH THỰC PHẨM QUÂN NGUYỄN,THỰC PHẨM QUẦN NGUYỄN,111117028,"Số 279, đường Hoàng Quốc Việt, Phường Nghĩa Đô, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),8/7/2025,"Sản xuất món ăn, thức ăn chế biến sẵn",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuc-Pham-Quan-Nguyen-17028.html
CÔNG TY TNHH ĐẦU TƯ & THƯƠNG MẠI VĂN ĐIỂM,"VAN DIEM TRADING & INVESTMENT CO.,LTD",111117155,"Số nhà 1, ngõ 14, đường Hoa Thám, Xã An Khánh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),7/7/2025,Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dau-Tu-Thuong-Mai-Van-Diem-17155.html
CÔNG TY TNHH THƯƠNG MẠI QUANG VINH PHÁT,,111117162,"Thôn Nội, Xã Hoài Đức, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),7/7/2025,Sản xuất các loại bánh từ bột,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Quang-Vinh-Phat-17162.html
CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI KẾ THANH,"KE THANH TRADING SERVICES CO.,LTD",111117123,"Số nhà 7B, ngõ 50/06 đường Hoa Thám, Xã An Khánh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),7/7/2025,,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dich-Vu-Thuong-Mai-Ke-Thanh-17123.html
CÔNG TY TNHH TMDV VẠN NHÂN,"VAN NHAN TMDV CO.,LTD",111117109,"Số nhà 77 đường Hoa Thám, Xã An Khánh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),7/7/2025,Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-TMDV-Van-Nhan-17109.html
CÔNG TY TNHH ĐẦU TƯ & THƯƠNG MẠI VẠN NHÂN,"VAN NHAN TRADING & INVESTMENT CO.,LTD",111117116,"Số nhà 75 đường Hoa Thám, Xã An Khánh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),7/7/2025,Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dau-Tu-Thuong-Mai-Van-Nhan-17116.html
CÔNG TY TNHH TRUYỀN THÔNG SỰ KIỆN SUN FLOWERS,,111117010,"Tầng 4, Số D2 - TT14, Khu đô thị Văn Quán, Phường Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),7/7/2025,,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Truyen-Thong-Su-Kien-Sun-Flowers-17010.html
CÔNG TY TNHH COWORKING MOBILE,,111117035,"Tầng 7, Toà TQ Building, Ngõ 286 Nguyễn Xiển, Phường Thanh Liệt, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),7/7/2025,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Coworking-Mobile-17035.html
CÔNG TY TRÁCH NHIỆM HỮU HẠN TƯ VẤN PHÁP LÝ KINH DOANH VIỆT NAM,BLC LLC,111113062,"sốll Cửa Bắc, Phường Trúc Bạch, Quận Ba Đình, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),28/06/2025,Hoạt động tư vấn quản lý,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Trach-Nhiem-Huu-Han-Tu-Van-Phap-Ly-Kinh-Doanh-Viet-Nam-13062.html
CÔNG TY TNHH BẢO MINH NGUYÊN,BAO MINH NGUYÊN COMPANY,111114838,"Số 82, ngõ 108 phố Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),28/06/2025,Dịch vụ ăn uống khác,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Bao-Minh-Nguyen-14838.html
CÔNG TY TNHH AN ACADEMY VIETNAM,,111113672,"4BT2 Khu đô thị Vinaconex 3 Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),28/06/2025,Giáo dục khác chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-An-Academy-Vietnam-13672.html
CÔNG TY TNHH CỐC GIẤY TÂM VIỆT,,111114796,"Số nhà 31, Ngách 16/61, Đường Đỗ Xuân Hợp, TDP 15 Tân Mỹ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),28/06/2025,"Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Coc-Giay-Tam-Viet-14796.html
CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ THƯƠNG MẠI MORIX AGENCY,"MORIX AGENCY COMMUNICATION AND TRADING .,JSC",111114517,"Số 3B ngõ 495 đường Nguyễn Trãi, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),28/06/2025,Cổng thông tin,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Truyen-Thong-Va-Thuong-Mai-Morix-Agency-14517.html
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ HIỂU MINH,,111115140,"SỐ16 Đường Bờ Sông Sét, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),28/06/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Dich-Vu-Hieu-Minh-15140.html
CÔNG TY TNHH SẢN XUẤT VÀ DỊCH VỤ GT,,111115285,"SỐ101 ngõ 219 phố Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),28/06/2025,"Cưa, xẻ, bào gỗ và bảo quản gỗ",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-San-Xuat-Va-Dich-Vu-Gt-15285.html
CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN GIÁO DỤC TIẾNG NHẬT EDO SENTA,"EDO SENTA JAPANESE EDU CO., LTD",111114933,"Ô DV 3, Khu nhà ở cao cấp Ngôi nhà mới, Thị Trấn Quốc Oai, Huyện Quốc Oai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),28/06/2025,Giáo dục khác chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dau-Tu-Phat-Trien-Giao-Duc-Tieng-Nhat-Edo-Senta-14933.html
CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI HTD 25,"HTD 25 CO.,LTD",111115045,"Số nhà 92tổ 13 Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),28/06/2025,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dich-Vu-Va-Thuong-Mai-Htd-25-15045.html
CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN THƯƠNG MẠI HẠNH HUY,,111115038,"Số 189 đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),28/06/2025,"Bán buôn sản phẩm thuốc lá, thuốc lào",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dau-Tu-Phat-Trien-Thuong-Mai-Hanh-Huy-15038.html
CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT PHỤ KIỆN NGÀNH CỬA ĐỖ LƯƠNG GIA,,111114997,"Số 6 Ngách 61/123, Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),28/06/2025,Sản xuất khác chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-San-Xuat-Phu-Kien-Nganh-Cua-Do-Luong-Gia-14997.html
CÔNG TY TNHH KINH DOANH XUẤT NHẬP KHẨU VÀ THƯƠNG MẠI QUANG MINH,,111114972,"Số nhà 4 ngõ 2, Phố Tô Hiến Thành, Phường Phúc La, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),28/06/2025,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Kinh-Doanh-Xuat-Nhap-Khau-Va-Thuong-Mai-Quang-Minh-14972.html
CÔNG TY TNHH DỊCH VỤ VÀ ĐÀO TẠO HÀ AN,"HA AN SERVICE AND TRAINING CO., LTD",111114958,"Số 3 LK27 Khu đô thị Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),28/06/2025,May trang phục (trừ trang phục từ da lông thú),https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dich-Vu-Va-Dao-Tao-Ha-An-14958.html
